"","nGene","nUMI","orig.ident","S.Score","G2M.Score","Phase","old.ident"
"B8_P4_MMD7_L001",1372,9682.99,"B8",0.113078367702751,-0.15069925485169,"S","B8"
"B9_P1_MMD7_L001",1381,9712.21,"B9",-0.133028870017284,-0.116048627490709,"G1","B9"
"B9_P2_MMD7_L001",1702,11039.1,"B9",-0.0251117019715502,-0.118744206830905,"G1","B9"
"B9_P3_MMD7_L001",1445,10165.76,"B9",-0.0168313931444179,-0.104220986686388,"G1","B9"
"B9_P4_MMD7_L001",1719,11278.64,"B9",0.0470838212856979,-0.0128300440975732,"S","B9"
"C10_P1_MMD7_L001",2252,14809.94,"C10",-0.160835135267789,-0.00077957544334864,"G1","C10"
"C10_P2_MMD7_L001",1595,11201.36,"C10",-0.0183634249855338,-0.0550690465719298,"G1","C10"
"C10_P3_MMD7_L001",1681,11700.99,"C10",-0.122032003569412,-0.0297969835008674,"G1","C10"
"C10_P4_MMD7_L001",1584,10576.03,"C10",-0.0162883675433489,0.0782759000094135,"G2M","C10"
"C11_P1_MMD7_L001",2689,17071.76,"C11",-0.162761040785396,-0.126150361878238,"G1","C11"
"C11_P2_MMD7_L001",2040,12964.84,"C11",-0.0817703235711374,-0.119874314469044,"G1","C11"
"C11_P3_MMD7_L001",3153,18618.97,"C11",-0.131226528065415,-0.0214656547679792,"G1","C11"
"C11_P4_MMD7_L001",1625,11065.08,"C11",-0.0304098618023907,-0.0635719512870773,"G1","C11"
"C12_P1_MMD7_L001",3079,19430.82,"C12",-0.0659485809336051,-0.142375759360791,"G1","C12"
"C12_P2_MMD7_L001",1837,12369.39,"C12",0.00618241165612221,-0.121123881844911,"S","C12"
"C12_P3_MMD7_L001",1953,12463.11,"C12",-0.0789586259867704,-0.0977697063618608,"G1","C12"
"C12_P4_MMD7_L001",1447,9927.94,"C12",-0.0169056458445363,-0.0990856071998281,"G1","C12"
"C1_P1_MMD7_L001",1972,13231.36,"C1",0.0250482237891685,-0.0796876741448259,"S","C1"
"C1_P2_MMD7_L001",1634,11244.9,"C1",-0.0230460124537924,-0.0147295179448192,"G1","C1"
"C1_P4_MMD7_L001",1748,10736.09,"C1",-0.024911879901323,-0.132074030627429,"G1","C1"
"C2_P1_MMD7_L001",1760,12558.79,"C2",-0.0166583220460122,0.019889256209889,"G2M","C2"
"C2_P2_MMD7_L001",2041,14323.93,"C2",0.0066935127926544,-0.024762397114374,"S","C2"
"C2_P3_MMD7_L001",1841,12586.96,"C2",-0.0415255503493289,-0.0214688434032364,"G1","C2"
